0,1,2,3
3762,833,Fuorcla Pedrus,Bergname
3851,834,Bocktehora,Bergname
3746,835,Piz Ivraina,Bergname
3851,836,Älplihora,Bergname
3762,837,Mot Vallatscha,Bergname
3851,838,Sattelhora,Bergname
3851,839,Chlei Sattelhora,Bergname
3762,840,Mot Mezdi,Bergname
3851,841,Fuorcla da Grialetsch,Bergname
3851,842,Grialetschfurgga,Bergname
3762,843,Mot Foraz,Bergname
3746,844,Fuorcla Laschadurella,Bergname
3746,845,Piz d'Immez,Bergname
3851,846,Leidbachfurgga,Bergname
3762,847,Piz Plavna Dadaint,Bergname
3513,848,Piz Mez,Bergname
3851,849,Chummertällifurgga,Bergname
3762,850,Sur il Foss,Bergname
3746,851,Muot da l'Ova Sparsa,Bergname
3542,853,Guggernell,Bergname
3746,854,Munt Baselgia,Bergname
3762,855,Piz Sesvenna,Bergname
3514,856,Tiaun,Bergname
3851,856,Tiaun,Bergname
3851,857,Leidbachhora,Bergname
3762,858,Piz Plazèr,Bergname
3851,859,Höflua,Bergname
3746,860,Piz Sursassa,Bergname
3746,861,Sella d'Arpschella,Bergname
3542,862,Piz Culmet,Bergname
3851,863,Marchhüreli,Bergname
3746,864,Schwarzhorafurgga,Bergname
3851,867,Hüreli,Bergname
3746,868,Piz Murterchömbel,Bergname
3513,869,Aroser Rothorn,Bergname
3762,870,Piz dals Cotschens,Bergname
3851,871,Wuoschthora,Bergname
3851,872,Valbella Furgga,Bergname
3851,873,Feelahora,Bergname
3762,874,Fuorcla Sesvenna,Bergname
3851,875,Valbellahorn,Bergname
3851,876,Sandhubel,Bergname
3542,877,Erzhornsattel,Bergname
3746,878,Schwarzhora,Bergname
3542,879,Erzhorn,Bergname
3762,880,Mot Madlain,Bergname
3921,881,Rothorn Ostgipfel,Bergname
3851,882,Rinerhora,Bergname
3762,883,Piz Mingèr,Bergname
3542,884,Gamschtällihorn,Bergname
3746,885,Piz d'Arpiglias,Bergname
3851,886,Tällihora,Bergname
3746,888,Piz Macun,Bergname
3762,889,Piz Sursass,Bergname
3762,890,Piz Nair,Bergname
3746,891,Piz Murtaröl,Bergname
3762,892,Piz da la Crappa,Bergname
3746,893,Schwarzchopf,Bergname
3746,894,Piz dal Ras,Bergname
3921,895,Leidfluafurgga,Bergname
3542,896,Älpliseehorn,Bergname
3762,897,Fuorcla Zuort,Bergname
3921,898,Älplihorn,Bergname
3851,899,Börterhora,Bergname
3746,900,Mot Radond,Bergname
3762,901,Piz Zuort,Bergname
3762,902,Fuorcla da Trigl,Bergname
3851,903,Chlei Schwarzhora,Bergname
3851,904,Tällifurgga,Bergname
3851,905,Alteinfurgga,Bergname
3762,906,Piz Rims,Bergname
3851,907,Hubel,Bergname
3762,908,Piz Plavna Dadora,Bergname
3762,909,Piz Cornet,Bergname
3746,910,Piz Spadlas,Bergname
3762,911,Piz dals Vadès,Bergname
3762,912,Piz Cristanas,Bergname
3746,913,Piz Mezdi,Bergname
3851,914,Strel,Bergname
3762,915,Piz Pradatsch,Bergname
3762,916,Fuorcla Trigliet,Bergname
3921,917,Schaftällihorn,Bergname
3746,918,Mot Nair,Bergname
3506,919,Gredigs Fürggli,Bergname
3762,920,Piz Madlain,Bergname
3851,921,Bäretalerfurgga,Bergname
3746,922,Flüelapass,Bergname
3746,923,Pass dal Flüela,Bergname
3851,924,Witihüreli,Bergname
3762,925,Fuorcla Cornet,Bergname
3921,926,Parpaner Weisshorn,Bergname
3762,927,Piz Pisoc,Bergname
3762,928,Piz d'Immez,Bergname
3762,929,Piz Giarsinom,Bergname
3851,930,Brunhora,Bergname
3762,931,Piz Mezdi,Bergname
3921,932,Tschirpen,Bergname
3762,933,Piz Cotschen,Bergname
3921,934,Mittaglugga,Bergname
3762,935,Piz Clemgia,Bergname
3851,937,Amselturm,Bergname
3762,938,Piz da l'Aua,Bergname
3762,939,Fuorcla da Trigl,Bergname
3921,941,Schiesshorn,Bergname
3746,942,Piz Champatsch,Bergname
3921,943,Amselflua,Bergname
3762,944,Piz San Jon Dadaint,Bergname
3851,945,Flüela Wisshorn,Bergname
3762,946,Mot da las Sellas,Bergname
3762,947,Piz Lavetscha,Bergname
3851,948,Jatzhora,Bergname
3673,950,Fulhorn,Bergname
3851,951,Sentischhora,Bergname
3851,953,Maiafelder Furgga,Bergname
3762,954,Piz San Jon d'Immez,Bergname
3673,956,Fulbergegg,Bergname
3762,957,Fuorcla da Rims,Bergname
3851,958,Winterlücke,Bergname
3851,959,Chummerhüreli,Bergname
3762,960,Piz San Jon Dadora,Bergname
3851,961,Jakobshora,Bergname
3921,963,Furggahora,Bergname
3762,964,Piz Curtinatsch,Bergname
3746,966,Piz Chastè,Bergname
3851,968,Schwarzhora,Bergname
3762,969,Fuorcla da Rasass,Bergname
3762,970,Rasasserscharte,Bergname
3762,971,Chonzla,Bergname
3746,974,Jöriflesspass,Bergname
3921,975,Carmänna,Bergname
3762,976,Piz da Gliasen,Bergname
3851,977,Tiejer Fürggli,Bergname
3851,978,Tiejer Flua,Bergname
3911,979,Malakoff,Bergname
3746,980,Piz Murtera,Bergname
3851,981,Gulerigefurgga,Bergname
3762,982,Piz Rims,Bergname
3762,983,Mot Radond,Bergname
3762,984,Piz Lischana,Bergname
3762,985,Griankopf,Bergname
3762,986,Piz Uina,Bergname
3762,987,Mot San Jon,Bergname
3762,988,Piz Triazza,Bergname
3746,989,Muttelhorn,Bergname
3851,991,Baslersch Chopf,Bergname
3851,992,Schafgrind,Bergname
3762,995,Piz Mezdi,Bergname
3746,996,Jöriflüelafurgga,Bergname
3851,996,Jöriflüelafurgga,Bergname
3762,997,Nairs,Bergname
3921,998,Weisshorn,Bergname
3851,999,Schwifurgga,Bergname
3762,1003,Mot Radond,Bergname
3921,1004,Tiejer Hautji,Bergname
3921,1005,Mederger Flua,Bergname
3851,1006,Chörbschhora,Bergname
3851,1007,Grüenihora,Bergname
3921,1009,Brüggerhorn,Bergname
3673,1012,Tgom'Aulta,Bergname
3746,1014,Piz Fless,Bergname
3746,1015,Piz Glims,Bergname
3746,1017,Rosställispitz,Bergname
3921,1018,Maraner Hauptji,Bergname
3911,1019,Chlin Gürgaletsch,Bergname
3762,1020,Fuorcla Ajüz,Bergname
3851,1021,Büelehora,Bergname
3746,1022,Fuorcla da Glims,Bergname
3746,1023,Muott'Auta,Bergname
3762,1024,Piz Ajüz,Bergname
3921,1025,Mederger Hautji,Bergname
3746,1030,Chirchli,Bergname
3851,1031,Wannagrat,Bergname
3746,1032,Gamsspitz,Bergname
3722,1033,Furggabüel,Bergname
3871,1034,Gorihorn,Bergname
3871,1035,Isentällispitz,Bergname
3911,1036,Haupt,Bergname
3762,1037,Muot da l'Hom,Bergname
3746,1038,Linard Pitschen,Bergname
3746,1039,Flesspass,Bergname
3746,1040,Pass da Fless,Bergname
3911,1042,Joch,Bergname
3762,1043,Mot Dadaint,Bergname
3746,1044,Piz Chapisun,Bergname
3762,1046,Piz dals Corvs,Bergname
3851,1048,Lätschüelfurgga,Bergname
3851,1050,Isenfürggli,Bergname
3746,1051,Pass dal Veraina,Bergname
3746,1052,Vereinapass,Bergname
3746,1054,Piz Linard,Bergname
3746,1056,Fuorcla Pitschna,Bergname
